frame,number of cars
1,"[[119.0, 176.0, 153.0, 196.0, 0.7879310250282288, 2.0], [234.0, 161.0, 256.0, 178.0, 0.778079092502594, 2.0], [263.0, 141.0, 279.0, 152.0, 0.5350435376167297, 2.0], [135.0, 103.0, 153.0, 110.0, 0.44960924983024597, 2.0], [261.0, 131.0, 274.0, 138.0, 0.3496449291706085, 2.0], [78.0, 103.0, 94.0, 111.0, 0.28056254982948303, 2.0]]"
2,"[[113.0, 177.0, 148.0, 199.0, 0.8544975519180298, 2.0], [231.0, 162.0, 252.0, 179.0, 0.694251298904419, 2.0], [263.0, 142.0, 277.0, 153.0, 0.5442659258842468, 2.0], [134.0, 103.0, 151.0, 111.0, 0.4405165910720825, 2.0], [75.0, 103.0, 92.0, 111.0, 0.2501811683177948, 2.0]]"
3,"[[108.0, 178.0, 143.0, 200.0, 0.8728787302970886, 2.0], [228.0, 162.0, 251.0, 180.0, 0.8069807887077332, 2.0], [261.0, 143.0, 276.0, 153.0, 0.6774167418479919, 2.0], [385.0, 150.0, 400.0, 163.0, 0.38583502173423767, 2.0], [134.0, 103.0, 150.0, 111.0, 0.3505112826824188, 2.0], [73.0, 103.0, 90.0, 111.0, 0.2658438980579376, 2.0]]"
4,"[[226.0, 165.0, 249.0, 182.0, 0.8604168891906738, 2.0], [100.0, 180.0, 138.0, 203.0, 0.8551652431488037, 2.0], [259.0, 144.0, 275.0, 154.0, 0.5017167925834656, 2.0], [70.0, 103.0, 88.0, 111.0, 0.37462911009788513, 2.0], [134.0, 103.0, 148.0, 111.0, 0.37422284483909607, 2.0], [256.0, 133.0, 269.0, 141.0, 0.34655797481536865, 2.0]]"
5,"[[226.0, 165.0, 249.0, 182.0, 0.8668848276138306, 2.0], [100.0, 180.0, 137.0, 203.0, 0.8529203534126282, 2.0], [259.0, 144.0, 275.0, 154.0, 0.5041291117668152, 2.0], [70.0, 103.0, 88.0, 111.0, 0.41493335366249084, 2.0], [133.0, 103.0, 148.0, 111.0, 0.38150912523269653, 2.0], [256.0, 133.0, 269.0, 142.0, 0.3709385395050049, 2.0]]"
6,"[[87.0, 185.0, 129.0, 209.0, 0.8730785846710205, 2.0], [221.0, 167.0, 245.0, 185.0, 0.8655269742012024, 2.0], [257.0, 144.0, 273.0, 155.0, 0.5722268223762512, 2.0], [69.0, 103.0, 86.0, 112.0, 0.4683748483657837, 2.0], [132.0, 103.0, 147.0, 111.0, 0.4386971890926361, 2.0], [380.0, 148.0, 396.0, 161.0, 0.3578328788280487, 2.0], [254.0, 133.0, 268.0, 143.0, 0.35325729846954346, 2.0], [275.0, 121.0, 282.0, 128.0, 0.26021409034729004, 2.0]]"
7,"[[80.0, 186.0, 123.0, 212.0, 0.8785626888275146, 2.0], [219.0, 168.0, 244.0, 187.0, 0.8525906205177307, 2.0], [256.0, 145.0, 273.0, 156.0, 0.6265078186988831, 2.0], [379.0, 147.0, 394.0, 161.0, 0.5517271161079407, 2.0], [254.0, 133.0, 265.0, 143.0, 0.551612138748169, 2.0], [67.0, 103.0, 84.0, 112.0, 0.41800862550735474, 2.0], [132.0, 103.0, 145.0, 111.0, 0.405338853597641, 2.0], [274.0, 120.0, 282.0, 128.0, 0.29039880633354187, 2.0]]"
8,"[[73.0, 188.0, 116.0, 214.0, 0.8730989694595337, 2.0], [216.0, 170.0, 241.0, 188.0, 0.8648799657821655, 2.0], [378.0, 147.0, 393.0, 160.0, 0.7697726488113403, 2.0], [252.0, 135.0, 266.0, 144.0, 0.6644325852394104, 2.0], [255.0, 145.0, 271.0, 158.0, 0.582070529460907, 2.0], [132.0, 103.0, 144.0, 110.0, 0.312149316072464, 2.0], [274.0, 122.0, 281.0, 128.0, 0.28742626309394836, 2.0]]"
9,"[[212.0, 170.0, 239.0, 190.0, 0.8221712112426758, 2.0], [65.0, 190.0, 111.0, 218.0, 0.8174615502357483, 2.0], [252.0, 135.0, 265.0, 145.0, 0.6581248641014099, 2.0], [254.0, 145.0, 270.0, 158.0, 0.5883111953735352, 2.0], [376.0, 146.0, 391.0, 161.0, 0.571898341178894, 2.0], [274.0, 122.0, 281.0, 128.0, 0.30529963970184326, 2.0], [63.0, 103.0, 80.0, 112.0, 0.30149954557418823, 2.0], [131.0, 104.0, 144.0, 111.0, 0.2513695955276489, 2.0]]"
10,"[[56.0, 193.0, 104.0, 221.0, 0.8617743849754333, 2.0], [210.0, 172.0, 236.0, 192.0, 0.8140813112258911, 2.0], [375.0, 146.0, 390.0, 160.0, 0.6409010887145996, 2.0], [251.0, 136.0, 265.0, 145.0, 0.6057697534561157, 2.0], [252.0, 145.0, 269.0, 159.0, 0.4474242627620697, 2.0], [62.0, 104.0, 78.0, 111.0, 0.44004112482070923, 2.0], [272.0, 122.0, 279.0, 128.0, 0.3734571933746338, 2.0], [338.0, 128.0, 347.0, 136.0, 0.26357099413871765, 2.0]]"
11,"[[207.0, 174.0, 235.0, 195.0, 0.8741922378540039, 2.0], [45.0, 195.0, 98.0, 225.0, 0.8242147564888, 2.0], [375.0, 145.0, 389.0, 159.0, 0.6672509908676147, 2.0], [458.0, 308.0, 571.0, 360.0, 0.526161253452301, 2.0], [249.0, 136.0, 261.0, 145.0, 0.46858689188957214, 2.0], [61.0, 103.0, 77.0, 112.0, 0.4063144624233246, 2.0], [250.0, 147.0, 268.0, 160.0, 0.3608778119087219, 2.0], [271.0, 122.0, 279.0, 129.0, 0.33867147564888, 2.0], [633.0, 242.0, 640.0, 263.0, 0.3014705181121826, 2.0]]"
12,"[[202.0, 176.0, 232.0, 197.0, 0.8681213855743408, 2.0], [35.0, 198.0, 90.0, 228.0, 0.859904408454895, 2.0], [450.0, 296.0, 548.0, 360.0, 0.8321670889854431, 2.0], [374.0, 145.0, 388.0, 158.0, 0.6388838291168213, 2.0], [248.0, 136.0, 261.0, 145.0, 0.5511957406997681, 2.0], [249.0, 147.0, 265.0, 162.0, 0.47590163350105286, 2.0], [620.0, 234.0, 640.0, 259.0, 0.4751364588737488, 2.0], [58.0, 103.0, 76.0, 111.0, 0.37422478199005127, 2.0], [127.0, 104.0, 142.0, 112.0, 0.26641133427619934, 2.0]]"
13,"[[441.0, 284.0, 531.0, 355.0, 0.890286386013031, 2.0], [199.0, 177.0, 230.0, 200.0, 0.8454190492630005, 2.0], [25.0, 202.0, 82.0, 233.0, 0.8426571488380432, 2.0], [611.0, 225.0, 640.0, 257.0, 0.6817893981933594, 2.0], [372.0, 144.0, 386.0, 157.0, 0.5740378499031067, 2.0], [247.0, 137.0, 261.0, 147.0, 0.5412688255310059, 2.0], [248.0, 146.0, 265.0, 162.0, 0.38376832008361816, 2.0], [56.0, 103.0, 76.0, 112.0, 0.3406195342540741, 2.0], [128.0, 104.0, 141.0, 112.0, 0.31600260734558105, 2.0], [271.0, 122.0, 279.0, 129.0, 0.26471349596977234, 2.0]]"
14,"[[14.0, 203.0, 74.0, 238.0, 0.8984646201133728, 2.0], [196.0, 180.0, 226.0, 202.0, 0.8485008478164673, 2.0], [434.0, 273.0, 516.0, 339.0, 0.7897229790687561, 2.0], [371.0, 144.0, 385.0, 156.0, 0.54317307472229, 2.0], [598.0, 219.0, 640.0, 262.0, 0.5159472823143005, 2.0], [246.0, 149.0, 263.0, 164.0, 0.4654793441295624, 2.0], [246.0, 137.0, 260.0, 146.0, 0.4429449737071991, 2.0], [127.0, 104.0, 140.0, 111.0, 0.32329630851745605, 2.0], [54.0, 104.0, 71.0, 112.0, 0.2952720522880554, 2.0], [297.0, 119.0, 303.0, 125.0, 0.2595793902873993, 2.0]]"
15,"[[3.0, 208.0, 65.0, 243.0, 0.87456876039505, 2.0], [192.0, 182.0, 223.0, 205.0, 0.8580406308174133, 2.0], [426.0, 264.0, 504.0, 325.0, 0.7701295018196106, 2.0], [245.0, 149.0, 262.0, 165.0, 0.569939911365509, 2.0], [370.0, 144.0, 384.0, 156.0, 0.5004571676254272, 2.0], [245.0, 136.0, 257.0, 147.0, 0.4506796598434448, 2.0], [52.0, 103.0, 70.0, 112.0, 0.2700468599796295, 2.0], [126.0, 103.0, 139.0, 111.0, 0.2593590319156647, 2.0]]"
16,"[[421.0, 254.0, 491.0, 313.0, 0.87955641746521, 2.0], [0.0, 212.0, 55.0, 248.0, 0.8766850829124451, 2.0], [187.0, 184.0, 221.0, 209.0, 0.8740155696868896, 2.0], [242.0, 150.0, 262.0, 166.0, 0.7026838660240173, 2.0], [580.0, 212.0, 640.0, 254.0, 0.6953877210617065, 2.0], [369.0, 143.0, 383.0, 155.0, 0.5106067061424255, 2.0], [244.0, 136.0, 258.0, 148.0, 0.4415163993835449, 2.0], [127.0, 104.0, 138.0, 111.0, 0.27981674671173096, 2.0]]"
17,"[[182.0, 185.0, 218.0, 211.0, 0.8621063828468323, 2.0], [0.0, 216.0, 47.0, 254.0, 0.814152717590332, 2.0], [415.0, 246.0, 481.0, 301.0, 0.8129439353942871, 2.0], [241.0, 152.0, 260.0, 166.0, 0.7083770632743835, 2.0], [240.0, 138.0, 256.0, 149.0, 0.645894467830658, 2.0], [368.0, 143.0, 382.0, 155.0, 0.5495314002037048, 2.0], [295.0, 119.0, 301.0, 126.0, 0.3860314190387726, 2.0], [126.0, 104.0, 137.0, 111.0, 0.37205079197883606, 2.0], [332.0, 126.0, 345.0, 134.0, 0.32440146803855896, 2.0]]"
18,"[[411.0, 239.0, 471.0, 291.0, 0.8762568235397339, 2.0], [178.0, 188.0, 215.0, 214.0, 0.8610069155693054, 2.0], [0.0, 219.0, 37.0, 257.0, 0.7806605100631714, 2.0], [240.0, 138.0, 255.0, 149.0, 0.6005578637123108, 2.0], [239.0, 152.0, 258.0, 167.0, 0.5917983651161194, 2.0], [368.0, 143.0, 381.0, 154.0, 0.45775702595710754, 2.0], [294.0, 120.0, 301.0, 126.0, 0.3312986195087433, 2.0], [126.0, 104.0, 137.0, 111.0, 0.30269426107406616, 2.0], [332.0, 126.0, 345.0, 136.0, 0.2826864719390869, 2.0]]"
19,"[[406.0, 233.0, 464.0, 282.0, 0.8679585456848145, 2.0], [173.0, 190.0, 211.0, 218.0, 0.8609354496002197, 2.0], [0.0, 222.0, 25.0, 255.0, 0.8293413519859314, 2.0], [554.0, 203.0, 622.0, 240.0, 0.7688001990318298, 2.0], [238.0, 152.0, 257.0, 168.0, 0.5271220803260803, 2.0], [239.0, 138.0, 253.0, 150.0, 0.5094934105873108, 2.0], [366.0, 143.0, 379.0, 154.0, 0.4612291157245636, 2.0], [334.0, 126.0, 347.0, 136.0, 0.3173668086528778, 2.0]]"
20,"[[166.0, 193.0, 207.0, 221.0, 0.8748890161514282, 2.0], [401.0, 229.0, 456.0, 274.0, 0.848310649394989, 2.0], [0.0, 228.0, 13.0, 256.0, 0.7279499769210815, 2.0], [239.0, 139.0, 253.0, 150.0, 0.6412285566329956, 2.0], [236.0, 154.0, 255.0, 169.0, 0.6371473670005798, 2.0], [549.0, 200.0, 612.0, 236.0, 0.6060283184051514, 2.0], [366.0, 142.0, 378.0, 153.0, 0.4845109283924103, 2.0], [293.0, 120.0, 300.0, 126.0, 0.2837342619895935, 2.0], [333.0, 126.0, 346.0, 136.0, 0.2742546498775482, 2.0], [41.0, 105.0, 60.0, 114.0, 0.2691434621810913, 2.0]]"
21,"[[162.0, 195.0, 202.0, 226.0, 0.8424234390258789, 2.0], [237.0, 140.0, 252.0, 150.0, 0.6983461976051331, 2.0], [542.0, 198.0, 603.0, 232.0, 0.6644249558448792, 2.0], [399.0, 223.0, 449.0, 266.0, 0.643852710723877, 2.0], [234.0, 156.0, 254.0, 170.0, 0.5924838185310364, 2.0], [365.0, 142.0, 377.0, 153.0, 0.5384647250175476, 2.0], [39.0, 105.0, 58.0, 113.0, 0.44264543056488037, 2.0], [333.0, 127.0, 346.0, 137.0, 0.3446240723133087, 2.0]]"
