frame,number of objects
1,"[[723.0, 228.0, 800.0, 274.0, 0.9079363346099854, 2.0], [254.0, 219.0, 313.0, 259.0, 0.8874984383583069, 2.0], [638.0, 229.0, 728.0, 266.0, 0.8621152639389038, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8343653082847595, 2.0], [104.0, 211.0, 172.0, 259.0, 0.8200943470001221, 2.0], [454.0, 219.0, 494.0, 242.0, 0.7234584093093872, 2.0], [488.0, 221.0, 546.0, 248.0, 0.7051286101341248, 2.0], [195.0, 220.0, 219.0, 237.0, 0.6538397073745728, 2.0], [166.0, 220.0, 187.0, 235.0, 0.5183228254318237, 2.0], [542.0, 217.0, 593.0, 256.0, 0.4321504831314087, 2.0], [238.0, 219.0, 255.0, 230.0, 0.2651003897190094, 2.0]]"
2,"[[723.0, 228.0, 800.0, 274.0, 0.9069244265556335, 2.0], [255.0, 219.0, 315.0, 260.0, 0.8796635866165161, 2.0], [638.0, 229.0, 728.0, 266.0, 0.8612717986106873, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8353379964828491, 2.0], [104.0, 211.0, 172.0, 259.0, 0.8278006315231323, 2.0], [455.0, 219.0, 494.0, 242.0, 0.7269935011863708, 2.0], [488.0, 221.0, 546.0, 248.0, 0.707595944404602, 2.0], [196.0, 220.0, 219.0, 237.0, 0.6463481187820435, 2.0], [166.0, 220.0, 187.0, 235.0, 0.48055681586265564, 2.0], [541.0, 217.0, 593.0, 256.0, 0.43640607595443726, 2.0], [237.0, 219.0, 255.0, 230.0, 0.31849104166030884, 2.0]]"
3,"[[723.0, 228.0, 800.0, 274.0, 0.9077821969985962, 2.0], [256.0, 220.0, 317.0, 260.0, 0.8628961443901062, 2.0], [638.0, 229.0, 728.0, 266.0, 0.8624001741409302, 2.0], [579.0, 219.0, 660.0, 261.0, 0.8377058506011963, 2.0], [104.0, 211.0, 172.0, 259.0, 0.8265773057937622, 2.0], [455.0, 219.0, 494.0, 242.0, 0.7251561880111694, 2.0], [488.0, 221.0, 546.0, 248.0, 0.7086918950080872, 2.0], [196.0, 220.0, 220.0, 237.0, 0.6365071535110474, 2.0], [166.0, 219.0, 188.0, 236.0, 0.5028132200241089, 2.0], [541.0, 217.0, 593.0, 256.0, 0.4359672963619232, 2.0], [237.0, 219.0, 254.0, 230.0, 0.32655996084213257, 2.0]]"
4,"[[723.0, 228.0, 800.0, 274.0, 0.9079506993293762, 2.0], [638.0, 229.0, 728.0, 266.0, 0.8626297116279602, 2.0], [258.0, 220.0, 319.0, 261.0, 0.8368704915046692, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8366691470146179, 2.0], [104.0, 211.0, 172.0, 259.0, 0.8251311182975769, 2.0], [455.0, 219.0, 494.0, 242.0, 0.7255968451499939, 2.0], [488.0, 221.0, 546.0, 248.0, 0.7060205936431885, 2.0], [196.0, 220.0, 220.0, 237.0, 0.6559297442436218, 2.0], [167.0, 219.0, 188.0, 236.0, 0.5308226943016052, 2.0], [541.0, 217.0, 593.0, 256.0, 0.43818047642707825, 2.0], [237.0, 219.0, 253.0, 230.0, 0.2760554552078247, 2.0]]"
5,"[[723.0, 228.0, 800.0, 274.0, 0.9077581167221069, 2.0], [259.0, 220.0, 321.0, 261.0, 0.8787769079208374, 2.0], [639.0, 229.0, 728.0, 266.0, 0.862319827079773, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8357656598091125, 2.0], [104.0, 211.0, 172.0, 259.0, 0.8301571011543274, 2.0], [455.0, 219.0, 494.0, 242.0, 0.7239101529121399, 2.0], [488.0, 221.0, 546.0, 248.0, 0.7063778042793274, 2.0], [196.0, 220.0, 220.0, 237.0, 0.6539880633354187, 2.0], [168.0, 220.0, 188.0, 235.0, 0.5437968373298645, 2.0], [542.0, 217.0, 593.0, 256.0, 0.4457797706127167, 2.0]]"
6,"[[723.0, 228.0, 800.0, 274.0, 0.9060606360435486, 2.0], [259.0, 220.0, 323.0, 262.0, 0.8989916443824768, 2.0], [639.0, 229.0, 728.0, 266.0, 0.8614723086357117, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8370804190635681, 2.0], [104.0, 211.0, 172.0, 259.0, 0.8212426900863647, 2.0], [455.0, 219.0, 494.0, 242.0, 0.7249979972839355, 2.0], [488.0, 221.0, 546.0, 248.0, 0.7066218852996826, 2.0], [196.0, 220.0, 221.0, 236.0, 0.687483549118042, 2.0], [168.0, 219.0, 188.0, 235.0, 0.5617878437042236, 2.0], [542.0, 217.0, 593.0, 256.0, 0.4500911235809326, 2.0]]"
7,"[[723.0, 228.0, 800.0, 274.0, 0.905773937702179, 2.0], [259.0, 220.0, 323.0, 261.0, 0.8973038196563721, 2.0], [639.0, 229.0, 728.0, 266.0, 0.8618167042732239, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8368209004402161, 2.0], [105.0, 211.0, 172.0, 259.0, 0.8025915622711182, 2.0], [455.0, 218.0, 494.0, 242.0, 0.7159411311149597, 2.0], [488.0, 221.0, 546.0, 248.0, 0.715480625629425, 2.0], [197.0, 219.0, 221.0, 236.0, 0.691213846206665, 2.0], [167.0, 219.0, 188.0, 235.0, 0.5770418047904968, 2.0], [541.0, 217.0, 593.0, 256.0, 0.4458293616771698, 2.0]]"
8,"[[723.0, 228.0, 800.0, 274.0, 0.9065309166908264, 2.0], [260.0, 219.0, 325.0, 261.0, 0.9000282883644104, 2.0], [639.0, 229.0, 727.0, 266.0, 0.8616165518760681, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8328750729560852, 2.0], [105.0, 211.0, 172.0, 259.0, 0.8042252659797668, 2.0], [455.0, 218.0, 494.0, 242.0, 0.7142778635025024, 2.0], [488.0, 221.0, 546.0, 248.0, 0.7110453844070435, 2.0], [197.0, 219.0, 222.0, 237.0, 0.6926460862159729, 2.0], [168.0, 220.0, 187.0, 235.0, 0.5758741497993469, 2.0], [541.0, 217.0, 593.0, 256.0, 0.44437161087989807, 2.0]]"
9,"[[723.0, 228.0, 800.0, 274.0, 0.9065947532653809, 2.0], [262.0, 220.0, 326.0, 261.0, 0.9004290699958801, 2.0], [639.0, 229.0, 727.0, 266.0, 0.8612801432609558, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8302492499351501, 2.0], [105.0, 211.0, 172.0, 259.0, 0.8042736649513245, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7158583402633667, 2.0], [198.0, 220.0, 222.0, 236.0, 0.7100600004196167, 2.0], [488.0, 221.0, 546.0, 248.0, 0.7098187804222107, 2.0], [168.0, 220.0, 187.0, 235.0, 0.5693657994270325, 2.0], [541.0, 217.0, 593.0, 256.0, 0.44917163252830505, 2.0]]"
10,"[[723.0, 228.0, 800.0, 274.0, 0.9066797494888306, 2.0], [263.0, 220.0, 328.0, 262.0, 0.9056037664413452, 2.0], [639.0, 229.0, 727.0, 266.0, 0.8612670302391052, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8326599597930908, 2.0], [106.0, 211.0, 173.0, 260.0, 0.8091116547584534, 2.0], [454.0, 218.0, 494.0, 242.0, 0.71687251329422, 2.0], [488.0, 220.0, 546.0, 248.0, 0.712543785572052, 2.0], [198.0, 220.0, 222.0, 236.0, 0.7124097347259521, 2.0], [169.0, 219.0, 187.0, 235.0, 0.5698029398918152, 2.0], [541.0, 217.0, 593.0, 256.0, 0.44801682233810425, 2.0]]"
