frame,number of people
1,"[[245.0, 600.0, 481.0, 825.0, 0.8652854561805725, 0.0], [1645.0, 626.0, 1872.0, 858.0, 0.8583378791809082, 0.0], [1543.0, 626.0, 1701.0, 769.0, 0.7996233701705933, 0.0], [1675.0, 565.0, 1766.0, 713.0, 0.7886050939559937, 0.0], [959.0, 689.0, 1181.0, 963.0, 0.7455874085426331, 0.0], [192.0, 494.0, 317.0, 618.0, 0.7267817258834839, 0.0], [1474.0, 577.0, 1565.0, 721.0, 0.6274739503860474, 0.0], [409.0, 591.0, 567.0, 767.0, 0.6152265071868896, 0.0], [319.0, 429.0, 424.0, 562.0, 0.5395911931991577, 0.0], [844.0, 647.0, 1042.0, 1057.0, 0.5389946103096008, 0.0], [491.0, 471.0, 581.0, 539.0, 0.5113101005554199, 0.0], [386.0, 416.0, 469.0, 488.0, 0.5093633532524109, 0.0], [1.0, 409.0, 71.0, 569.0, 0.5025700926780701, 0.0], [1855.0, 692.0, 1920.0, 843.0, 0.46015486121177673, 0.0], [206.0, 606.0, 289.0, 690.0, 0.44359326362609863, 0.0], [489.0, 542.0, 565.0, 692.0, 0.41133755445480347, 0.0], [1057.0, 591.0, 1200.0, 711.0, 0.4109707474708557, 0.0], [948.0, 502.0, 1062.0, 630.0, 0.4065101444721222, 0.0], [6.0, 689.0, 153.0, 944.0, 0.39890462160110474, 0.0], [268.0, 470.0, 354.0, 577.0, 0.3847438097000122, 0.0], [141.0, 398.0, 231.0, 517.0, 0.32734647393226624, 0.0], [579.0, 402.0, 650.0, 511.0, 0.3232060372829437, 0.0], [423.0, 448.0, 515.0, 523.0, 0.2857699394226074, 0.0], [1161.0, 436.0, 1229.0, 511.0, 0.2645356357097626, 0.0]]"
2,"[[246.0, 599.0, 481.0, 828.0, 0.8810919523239136, 0.0], [1644.0, 627.0, 1870.0, 858.0, 0.8775599598884583, 0.0], [1543.0, 627.0, 1698.0, 771.0, 0.8002232909202576, 0.0], [1673.0, 566.0, 1767.0, 714.0, 0.7976902723312378, 0.0], [0.0, 632.0, 152.0, 944.0, 0.795366644859314, 0.0], [957.0, 674.0, 1180.0, 961.0, 0.7878254055976868, 0.0], [192.0, 503.0, 316.0, 619.0, 0.7727551460266113, 0.0], [1457.0, 576.0, 1567.0, 725.0, 0.636857807636261, 0.0], [845.0, 651.0, 1041.0, 1048.0, 0.5935600996017456, 0.0], [406.0, 589.0, 569.0, 779.0, 0.5629945993423462, 0.0], [1.0, 409.0, 71.0, 559.0, 0.5443050861358643, 0.0], [1137.0, 480.0, 1588.0, 1080.0, 0.5393192172050476, 0.0], [491.0, 469.0, 581.0, 540.0, 0.5359152555465698, 0.0], [486.0, 541.0, 567.0, 692.0, 0.5010222792625427, 0.0], [317.0, 429.0, 418.0, 559.0, 0.47977006435394287, 0.0], [1854.0, 687.0, 1920.0, 843.0, 0.4621032774448395, 0.0], [386.0, 416.0, 468.0, 491.0, 0.44126251339912415, 0.0], [205.0, 606.0, 289.0, 696.0, 0.4411742091178894, 0.0], [424.0, 450.0, 516.0, 522.0, 0.3610036373138428, 0.0], [141.0, 399.0, 231.0, 511.0, 0.33286434412002563, 0.0], [578.0, 402.0, 650.0, 529.0, 0.3309113681316376, 0.0], [1160.0, 436.0, 1227.0, 510.0, 0.29167211055755615, 0.0], [63.0, 436.0, 174.0, 629.0, 0.28615280985832214, 0.0], [269.0, 472.0, 351.0, 573.0, 0.2768838703632355, 0.0], [1038.0, 505.0, 1168.0, 627.0, 0.2739141583442688, 0.0], [949.0, 502.0, 1053.0, 629.0, 0.2729254364967346, 0.0], [1000.0, 522.0, 1126.0, 636.0, 0.2568557858467102, 0.0], [856.0, 602.0, 963.0, 801.0, 0.2550923824310303, 0.0]]"
3,"[[248.0, 599.0, 484.0, 829.0, 0.8756571412086487, 0.0], [1.0, 631.0, 152.0, 941.0, 0.8728552460670471, 0.0], [1645.0, 628.0, 1870.0, 858.0, 0.8542813062667847, 0.0], [1546.0, 627.0, 1695.0, 771.0, 0.8212915658950806, 0.0], [1675.0, 566.0, 1766.0, 713.0, 0.8075417876243591, 0.0], [192.0, 498.0, 317.0, 624.0, 0.7909243106842041, 0.0], [958.0, 678.0, 1179.0, 964.0, 0.783523440361023, 0.0], [1441.0, 577.0, 1566.0, 721.0, 0.7361374497413635, 0.0], [404.0, 590.0, 569.0, 783.0, 0.6094646453857422, 0.0], [491.0, 468.0, 582.0, 540.0, 0.5997878313064575, 0.0], [0.0, 410.0, 71.0, 570.0, 0.5960445404052734, 0.0], [845.0, 650.0, 1039.0, 1050.0, 0.5909829139709473, 0.0], [1119.0, 481.0, 1596.0, 1076.0, 0.5509827733039856, 0.0], [488.0, 540.0, 564.0, 692.0, 0.5274800658226013, 0.0], [1161.0, 436.0, 1228.0, 509.0, 0.4664660692214966, 0.0], [314.0, 429.0, 420.0, 559.0, 0.4441467523574829, 0.0], [1853.0, 692.0, 1920.0, 841.0, 0.44304102659225464, 0.0], [386.0, 416.0, 468.0, 489.0, 0.3443532884120941, 0.0], [203.0, 605.0, 315.0, 707.0, 0.33651071786880493, 0.0], [78.0, 535.0, 211.0, 692.0, 0.33631467819213867, 0.0], [579.0, 402.0, 651.0, 513.0, 0.3307895064353943, 0.0], [423.0, 450.0, 515.0, 523.0, 0.32277411222457886, 0.0], [141.0, 399.0, 231.0, 514.0, 0.3212338387966156, 0.0], [67.0, 435.0, 166.0, 625.0, 0.2658025622367859, 0.0], [949.0, 503.0, 1047.0, 617.0, 0.2597622573375702, 0.0]]"
4,"[[247.0, 600.0, 483.0, 828.0, 0.8839809894561768, 0.0], [1.0, 632.0, 152.0, 940.0, 0.8550953269004822, 0.0], [1545.0, 627.0, 1697.0, 771.0, 0.8288661241531372, 0.0], [1644.0, 629.0, 1870.0, 858.0, 0.8273073434829712, 0.0], [1676.0, 566.0, 1766.0, 713.0, 0.8173381090164185, 0.0], [192.0, 497.0, 317.0, 623.0, 0.8032483458518982, 0.0], [958.0, 673.0, 1179.0, 963.0, 0.7942832112312317, 0.0], [1431.0, 577.0, 1566.0, 719.0, 0.7640674114227295, 0.0], [1095.0, 481.0, 1573.0, 1073.0, 0.6266244053840637, 0.0], [402.0, 591.0, 569.0, 792.0, 0.6061310768127441, 0.0], [846.0, 654.0, 1041.0, 1038.0, 0.564963161945343, 0.0], [488.0, 541.0, 566.0, 692.0, 0.5634378790855408, 0.0], [491.0, 468.0, 582.0, 540.0, 0.5357840657234192, 0.0], [0.0, 409.0, 72.0, 523.0, 0.5302383899688721, 0.0], [1857.0, 689.0, 1920.0, 941.0, 0.5024040341377258, 0.0], [83.0, 536.0, 210.0, 707.0, 0.4426722526550293, 0.0], [1161.0, 436.0, 1229.0, 509.0, 0.4381119906902313, 0.0], [425.0, 451.0, 516.0, 522.0, 0.4268825948238373, 0.0], [315.0, 429.0, 422.0, 558.0, 0.4256180226802826, 0.0], [201.0, 605.0, 298.0, 711.0, 0.400573194026947, 0.0], [141.0, 398.0, 231.0, 506.0, 0.3483845591545105, 0.0], [387.0, 416.0, 468.0, 486.0, 0.33306506276130676, 0.0], [60.0, 438.0, 170.0, 621.0, 0.3039829730987549, 0.0], [581.0, 402.0, 651.0, 517.0, 0.2980828583240509, 0.0], [272.0, 476.0, 359.0, 590.0, 0.27675938606262207, 0.0], [960.0, 517.0, 1125.0, 638.0, 0.26040926575660706, 0.0], [486.0, 470.0, 586.0, 616.0, 0.25866472721099854, 0.0]]"
5,"[[247.0, 600.0, 483.0, 829.0, 0.8850964903831482, 0.0], [1.0, 631.0, 152.0, 940.0, 0.8633661270141602, 0.0], [1644.0, 629.0, 1870.0, 859.0, 0.8420768976211548, 0.0], [1545.0, 627.0, 1696.0, 772.0, 0.83249431848526, 0.0], [1676.0, 566.0, 1766.0, 713.0, 0.8196605443954468, 0.0], [958.0, 669.0, 1178.0, 964.0, 0.8005082607269287, 0.0], [192.0, 498.0, 317.0, 624.0, 0.7929794192314148, 0.0], [1414.0, 577.0, 1565.0, 722.0, 0.6938648223876953, 0.0], [399.0, 591.0, 569.0, 793.0, 0.6356459259986877, 0.0], [492.0, 468.0, 582.0, 539.0, 0.5893633365631104, 0.0], [488.0, 541.0, 566.0, 692.0, 0.577402651309967, 0.0], [845.0, 653.0, 1041.0, 1037.0, 0.55431067943573, 0.0], [1.0, 409.0, 71.0, 555.0, 0.5086549520492554, 0.0], [1857.0, 689.0, 1920.0, 940.0, 0.4862588346004486, 0.0], [1160.0, 436.0, 1228.0, 511.0, 0.48446476459503174, 0.0], [314.0, 429.0, 423.0, 560.0, 0.43962427973747253, 0.0], [1091.0, 479.0, 1564.0, 1078.0, 0.4287804365158081, 0.0], [425.0, 451.0, 516.0, 522.0, 0.42258962988853455, 0.0], [80.0, 535.0, 208.0, 703.0, 0.36661067605018616, 0.0], [199.0, 605.0, 298.0, 710.0, 0.35450777411460876, 0.0], [141.0, 400.0, 231.0, 503.0, 0.33806535601615906, 0.0], [386.0, 415.0, 468.0, 489.0, 0.33018219470977783, 0.0], [61.0, 438.0, 170.0, 622.0, 0.295413076877594, 0.0], [588.0, 402.0, 651.0, 513.0, 0.2789560854434967, 0.0], [957.0, 517.0, 1129.0, 640.0, 0.2716917097568512, 0.0]]"
6,"[[248.0, 601.0, 484.0, 829.0, 0.8825345039367676, 0.0], [1.0, 631.0, 152.0, 940.0, 0.8812740445137024, 0.0], [1644.0, 629.0, 1870.0, 859.0, 0.8500794768333435, 0.0], [1544.0, 627.0, 1697.0, 770.0, 0.8400094509124756, 0.0], [1677.0, 566.0, 1765.0, 714.0, 0.826987624168396, 0.0], [957.0, 669.0, 1168.0, 962.0, 0.8071084022521973, 0.0], [192.0, 499.0, 317.0, 625.0, 0.7802897691726685, 0.0], [401.0, 590.0, 569.0, 794.0, 0.6643676161766052, 0.0], [1402.0, 576.0, 1568.0, 728.0, 0.6541212797164917, 0.0], [489.0, 541.0, 565.0, 693.0, 0.5879414081573486, 0.0], [845.0, 651.0, 1040.0, 1043.0, 0.5640258193016052, 0.0], [491.0, 468.0, 582.0, 539.0, 0.5507273077964783, 0.0], [1.0, 409.0, 71.0, 557.0, 0.5307596325874329, 0.0], [1160.0, 435.0, 1228.0, 512.0, 0.5076101422309875, 0.0], [1858.0, 691.0, 1920.0, 939.0, 0.500577986240387, 0.0], [1068.0, 480.0, 1535.0, 1071.0, 0.46867579221725464, 0.0], [313.0, 429.0, 424.0, 560.0, 0.4365766942501068, 0.0], [425.0, 451.0, 516.0, 523.0, 0.40051108598709106, 0.0], [386.0, 415.0, 468.0, 488.0, 0.3527155816555023, 0.0], [81.0, 540.0, 204.0, 708.0, 0.33234137296676636, 0.0], [953.0, 516.0, 1120.0, 638.0, 0.33123525977134705, 0.0], [142.0, 400.0, 231.0, 504.0, 0.3294277787208557, 0.0], [60.0, 437.0, 172.0, 624.0, 0.3292769491672516, 0.0], [197.0, 605.0, 294.0, 710.0, 0.32647818326950073, 0.0], [581.0, 403.0, 651.0, 508.0, 0.28970909118652344, 0.0], [858.0, 603.0, 964.0, 801.0, 0.26322510838508606, 0.0]]"
7,"[[246.0, 601.0, 485.0, 829.0, 0.8867709636688232, 0.0], [1.0, 630.0, 152.0, 940.0, 0.8864347338676453, 0.0], [1645.0, 629.0, 1870.0, 858.0, 0.8438077569007874, 0.0], [1544.0, 627.0, 1697.0, 770.0, 0.840911328792572, 0.0], [1677.0, 566.0, 1765.0, 714.0, 0.827907145023346, 0.0], [192.0, 498.0, 317.0, 626.0, 0.7739700675010681, 0.0], [956.0, 674.0, 1158.0, 963.0, 0.7339439392089844, 0.0], [1402.0, 576.0, 1570.0, 722.0, 0.6797653436660767, 0.0], [400.0, 590.0, 569.0, 795.0, 0.6627494096755981, 0.0], [488.0, 541.0, 565.0, 693.0, 0.6024996638298035, 0.0], [491.0, 466.0, 582.0, 539.0, 0.5635916590690613, 0.0], [845.0, 652.0, 1040.0, 1040.0, 0.5396274328231812, 0.0], [1857.0, 689.0, 1920.0, 940.0, 0.5235060453414917, 0.0], [1.0, 409.0, 71.0, 554.0, 0.5144852995872498, 0.0], [1160.0, 435.0, 1229.0, 510.0, 0.4991760849952698, 0.0], [1075.0, 488.0, 1520.0, 1065.0, 0.4929923117160797, 0.0], [311.0, 429.0, 423.0, 561.0, 0.44002223014831543, 0.0], [425.0, 451.0, 516.0, 523.0, 0.4087933301925659, 0.0], [195.0, 605.0, 297.0, 718.0, 0.3739537000656128, 0.0], [386.0, 415.0, 468.0, 489.0, 0.34399330615997314, 0.0], [80.0, 540.0, 203.0, 709.0, 0.3396633267402649, 0.0], [142.0, 400.0, 231.0, 505.0, 0.3263154625892639, 0.0], [953.0, 517.0, 1112.0, 638.0, 0.3243566155433655, 0.0], [60.0, 436.0, 172.0, 625.0, 0.3108294904232025, 0.0], [580.0, 403.0, 651.0, 507.0, 0.3030480146408081, 0.0], [858.0, 603.0, 964.0, 801.0, 0.26275506615638733, 0.0]]"
8,"[[1.0, 631.0, 152.0, 939.0, 0.89106684923172, 0.0], [247.0, 603.0, 485.0, 830.0, 0.879420816898346, 0.0], [956.0, 726.0, 1137.0, 961.0, 0.8545261025428772, 0.0], [1644.0, 629.0, 1871.0, 859.0, 0.8417696356773376, 0.0], [1545.0, 627.0, 1698.0, 769.0, 0.8319242000579834, 0.0], [1678.0, 566.0, 1765.0, 713.0, 0.8240612149238586, 0.0], [192.0, 500.0, 317.0, 627.0, 0.7707502245903015, 0.0], [402.0, 591.0, 569.0, 795.0, 0.6405496001243591, 0.0], [1403.0, 576.0, 1569.0, 729.0, 0.5840162634849548, 0.0], [487.0, 540.0, 566.0, 693.0, 0.5692012906074524, 0.0], [491.0, 467.0, 581.0, 539.0, 0.54880690574646, 0.0], [1160.0, 436.0, 1231.0, 507.0, 0.5210040211677551, 0.0], [1.0, 409.0, 71.0, 555.0, 0.5206920504570007, 0.0], [845.0, 653.0, 1043.0, 1036.0, 0.5173251032829285, 0.0], [1857.0, 689.0, 1920.0, 940.0, 0.5137931108474731, 0.0], [952.0, 515.0, 1108.0, 639.0, 0.5011630654335022, 0.0], [1016.0, 490.0, 1519.0, 1070.0, 0.46870872378349304, 0.0], [310.0, 429.0, 422.0, 560.0, 0.42993253469467163, 0.0], [83.0, 540.0, 203.0, 717.0, 0.3860147297382355, 0.0], [194.0, 605.0, 299.0, 717.0, 0.3613640367984772, 0.0], [425.0, 451.0, 517.0, 522.0, 0.3487485647201538, 0.0], [142.0, 401.0, 231.0, 505.0, 0.3355855345726013, 0.0], [386.0, 415.0, 468.0, 489.0, 0.30361104011535645, 0.0], [59.0, 436.0, 171.0, 625.0, 0.2921375334262848, 0.0], [858.0, 603.0, 964.0, 801.0, 0.2920258343219757, 0.0], [583.0, 403.0, 651.0, 507.0, 0.26684215664863586, 0.0]]"
9,"[[1.0, 632.0, 151.0, 939.0, 0.9007679224014282, 0.0], [247.0, 604.0, 485.0, 831.0, 0.8736142516136169, 0.0], [1644.0, 629.0, 1871.0, 859.0, 0.8570882678031921, 0.0], [1544.0, 627.0, 1698.0, 770.0, 0.8260321021080017, 0.0], [1677.0, 566.0, 1765.0, 713.0, 0.8237317800521851, 0.0], [192.0, 503.0, 317.0, 627.0, 0.7713780403137207, 0.0], [956.0, 737.0, 1106.0, 962.0, 0.6833238005638123, 0.0], [1403.0, 575.0, 1567.0, 723.0, 0.6184763312339783, 0.0], [486.0, 540.0, 566.0, 693.0, 0.601102888584137, 0.0], [1015.0, 494.0, 1518.0, 1071.0, 0.5919741988182068, 0.0], [402.0, 589.0, 570.0, 808.0, 0.578400731086731, 0.0], [491.0, 468.0, 581.0, 539.0, 0.549677312374115, 0.0], [1.0, 409.0, 72.0, 554.0, 0.5243479013442993, 0.0], [844.0, 649.0, 1052.0, 1045.0, 0.5170372128486633, 0.0], [1858.0, 691.0, 1920.0, 939.0, 0.4920467436313629, 0.0], [1158.0, 435.0, 1230.0, 500.0, 0.4813459813594818, 0.0], [313.0, 430.0, 422.0, 561.0, 0.41984987258911133, 0.0], [80.0, 542.0, 201.0, 719.0, 0.3690384328365326, 0.0], [193.0, 606.0, 297.0, 721.0, 0.3658909797668457, 0.0], [142.0, 401.0, 231.0, 503.0, 0.3548445403575897, 0.0], [425.0, 451.0, 517.0, 523.0, 0.3500320017337799, 0.0], [949.0, 504.0, 1063.0, 636.0, 0.3253709375858307, 0.0], [58.0, 436.0, 172.0, 625.0, 0.3158183693885803, 0.0], [386.0, 415.0, 468.0, 490.0, 0.30894702672958374, 0.0], [858.0, 602.0, 964.0, 800.0, 0.28645145893096924, 0.0], [583.0, 403.0, 651.0, 507.0, 0.268245130777359, 0.0]]"
10,"[[1.0, 632.0, 151.0, 939.0, 0.8887733221054077, 0.0], [247.0, 604.0, 486.0, 832.0, 0.8792923092842102, 0.0], [1645.0, 629.0, 1871.0, 859.0, 0.8626260161399841, 0.0], [1544.0, 627.0, 1697.0, 770.0, 0.8273587226867676, 0.0], [1677.0, 566.0, 1765.0, 713.0, 0.8245211243629456, 0.0], [192.0, 501.0, 317.0, 630.0, 0.7537397742271423, 0.0], [1403.0, 576.0, 1566.0, 724.0, 0.6382681131362915, 0.0], [406.0, 587.0, 571.0, 834.0, 0.6108812093734741, 0.0], [486.0, 540.0, 566.0, 693.0, 0.5933858752250671, 0.0], [1012.0, 492.0, 1503.0, 1078.0, 0.5561457872390747, 0.0], [492.0, 468.0, 580.0, 540.0, 0.538756251335144, 0.0], [1.0, 409.0, 71.0, 554.0, 0.5270864963531494, 0.0], [845.0, 643.0, 1043.0, 1049.0, 0.5260998606681824, 0.0], [1158.0, 436.0, 1229.0, 499.0, 0.5078971982002258, 0.0], [947.0, 503.0, 1053.0, 639.0, 0.4850981533527374, 0.0], [1859.0, 693.0, 1920.0, 938.0, 0.4832274913787842, 0.0], [82.0, 541.0, 202.0, 721.0, 0.41503646969795227, 0.0], [309.0, 430.0, 422.0, 561.0, 0.4140513837337494, 0.0], [194.0, 605.0, 309.0, 735.0, 0.3440515398979187, 0.0], [142.0, 399.0, 231.0, 514.0, 0.3407925069332123, 0.0], [957.0, 702.0, 1093.0, 965.0, 0.3366551697254181, 0.0], [425.0, 451.0, 517.0, 523.0, 0.3303390145301819, 0.0], [386.0, 415.0, 468.0, 490.0, 0.3043753206729889, 0.0], [60.0, 436.0, 171.0, 626.0, 0.30400288105010986, 0.0], [859.0, 603.0, 964.0, 799.0, 0.28163620829582214, 0.0], [583.0, 403.0, 651.0, 508.0, 0.2570304870605469, 0.0]]"
