frame,number of objects
100,"[[409.0, 86.0, 477.0, 133.0, 0.7284268736839294, 2.0], [394.0, 81.0, 426.0, 103.0, 0.5762305855751038, 2.0], [460.0, 75.0, 480.0, 103.0, 0.41645675897598267, 2.0], [449.0, 72.0, 479.0, 93.0, 0.27503201365470886, 2.0]]"
200,"[[437.0, 107.0, 480.0, 161.0, 0.8835845589637756, 2.0], [407.0, 85.0, 473.0, 133.0, 0.8403700590133667, 2.0], [456.0, 77.0, 480.0, 107.0, 0.5828495025634766, 2.0], [389.0, 79.0, 421.0, 106.0, 0.5784379243850708, 2.0], [299.0, 97.0, 340.0, 123.0, 0.37621328234672546, 2.0], [447.0, 73.0, 479.0, 92.0, 0.25165337324142456, 2.0]]"
300,"[[383.0, 96.0, 480.0, 149.0, 0.9137356877326965, 2.0], [456.0, 76.0, 480.0, 106.0, 0.6139146685600281, 2.0], [406.0, 82.0, 474.0, 105.0, 0.5108259916305542, 2.0], [387.0, 78.0, 419.0, 103.0, 0.49868425726890564, 2.0], [298.0, 91.0, 340.0, 122.0, 0.3535727858543396, 2.0]]"
400,"[[73.0, 98.0, 299.0, 219.0, 0.87505042552948, 2.0], [0.0, 89.0, 121.0, 153.0, 0.8742520809173584, 2.0], [313.0, 101.0, 469.0, 228.0, 0.7957767248153687, 2.0], [259.0, 83.0, 348.0, 123.0, 0.7683935761451721, 2.0], [407.0, 75.0, 480.0, 146.0, 0.7155876755714417, 2.0], [314.0, 88.0, 402.0, 125.0, 0.6213904619216919, 2.0], [304.0, 70.0, 359.0, 92.0, 0.4981367290019989, 2.0], [235.0, 83.0, 283.0, 104.0, 0.4663221538066864, 2.0], [382.0, 80.0, 438.0, 102.0, 0.45267683267593384, 2.0], [371.0, 77.0, 421.0, 92.0, 0.4388831853866577, 2.0], [136.0, 90.0, 239.0, 124.0, 0.3214488923549652, 2.0], [210.0, 77.0, 240.0, 93.0, 0.297749787569046, 2.0], [358.0, 67.0, 382.0, 82.0, 0.2516208589076996, 2.0]]"
500,"[[403.0, 80.0, 480.0, 153.0, 0.902473509311676, 2.0], [146.0, 92.0, 272.0, 139.0, 0.8952915668487549, 2.0], [257.0, 97.0, 383.0, 159.0, 0.8909247517585754, 2.0], [1.0, 138.0, 368.0, 268.0, 0.8247473835945129, 2.0], [363.0, 85.0, 429.0, 131.0, 0.743449330329895, 2.0], [46.0, 86.0, 137.0, 141.0, 0.6728050112724304, 2.0], [291.0, 75.0, 356.0, 102.0, 0.6396006345748901, 2.0], [246.0, 88.0, 300.0, 117.0, 0.5888190269470215, 2.0], [142.0, 73.0, 173.0, 89.0, 0.5261561274528503, 2.0], [0.0, 79.0, 63.0, 117.0, 0.5016279816627502, 2.0], [128.0, 74.0, 154.0, 89.0, 0.4285489022731781, 2.0], [355.0, 73.0, 380.0, 94.0, 0.33612334728240967, 2.0], [362.0, 81.0, 413.0, 100.0, 0.33221349120140076, 2.0], [197.0, 77.0, 234.0, 93.0, 0.2742452025413513, 2.0]]"
600,"[[0.0, 109.0, 257.0, 225.0, 0.8979306221008301, 2.0], [281.0, 98.0, 364.0, 150.0, 0.8688934445381165, 2.0], [323.0, 85.0, 472.0, 198.0, 0.8277723789215088, 2.0], [152.0, 91.0, 245.0, 126.0, 0.7918409705162048, 2.0], [261.0, 80.0, 338.0, 121.0, 0.7183303236961365, 2.0], [468.0, 96.0, 480.0, 135.0, 0.5409873127937317, 2.0], [141.0, 75.0, 183.0, 101.0, 0.43741101026535034, 2.0], [356.0, 73.0, 390.0, 87.0, 0.3630233705043793, 2.0], [357.0, 77.0, 395.0, 95.0, 0.2530648708343506, 2.0]]"
700,"[[349.0, 106.0, 471.0, 181.0, 0.9290726184844971, 2.0], [290.0, 98.0, 392.0, 149.0, 0.8675293326377869, 2.0], [199.0, 84.0, 274.0, 129.0, 0.7353797554969788, 2.0], [376.0, 84.0, 426.0, 111.0, 0.6370381116867065, 2.0], [446.0, 95.0, 480.0, 135.0, 0.619654655456543, 2.0], [291.0, 88.0, 331.0, 114.0, 0.49122747778892517, 2.0], [443.0, 85.0, 479.0, 102.0, 0.49030759930610657, 2.0], [121.0, 81.0, 151.0, 96.0, 0.4271491765975952, 2.0], [338.0, 93.0, 369.0, 103.0, 0.33802589774131775, 2.0], [351.0, 78.0, 379.0, 96.0, 0.28479284048080444, 2.0]]"
800,"[[360.0, 95.0, 461.0, 153.0, 0.9177897572517395, 2.0], [2.0, 144.0, 261.0, 269.0, 0.8987172245979309, 2.0], [127.0, 101.0, 293.0, 162.0, 0.8283612728118896, 2.0], [460.0, 84.0, 480.0, 127.0, 0.7091950178146362, 2.0], [230.0, 88.0, 293.0, 122.0, 0.700355589389801, 2.0], [413.0, 80.0, 461.0, 104.0, 0.5274153351783752, 2.0], [36.0, 77.0, 189.0, 142.0, 0.5258652567863464, 2.0], [444.0, 77.0, 465.0, 97.0, 0.3786451518535614, 2.0], [289.0, 78.0, 378.0, 134.0, 0.3586554527282715, 2.0]]"
900,"[[209.0, 107.0, 389.0, 214.0, 0.9207032918930054, 2.0], [405.0, 91.0, 465.0, 153.0, 0.7859904170036316, 2.0], [371.0, 81.0, 433.0, 120.0, 0.706683874130249, 2.0], [463.0, 94.0, 480.0, 114.0, 0.6748517155647278, 2.0], [89.0, 116.0, 134.0, 153.0, 0.6557347774505615, 2.0], [0.0, 86.0, 36.0, 159.0, 0.536120593547821, 2.0], [297.0, 92.0, 350.0, 110.0, 0.5043519139289856, 2.0], [286.0, 75.0, 319.0, 94.0, 0.4670203924179077, 2.0], [112.0, 78.0, 143.0, 94.0, 0.4246244430541992, 2.0], [340.0, 75.0, 369.0, 92.0, 0.4026198387145996, 2.0], [367.0, 78.0, 393.0, 93.0, 0.29314926266670227, 2.0]]"
1000,"[[99.0, 113.0, 261.0, 187.0, 0.9238588809967041, 2.0], [0.0, 112.0, 79.0, 182.0, 0.900551974773407, 2.0], [419.0, 101.0, 474.0, 143.0, 0.851594090461731, 2.0], [39.0, 102.0, 154.0, 152.0, 0.8418300747871399, 2.0], [134.0, 83.0, 156.0, 99.0, 0.5732574462890625, 2.0], [445.0, 83.0, 467.0, 98.0, 0.5498682856559753, 2.0], [109.0, 84.0, 138.0, 100.0, 0.5444731116294861, 2.0], [394.0, 96.0, 428.0, 115.0, 0.5127695202827454, 2.0], [328.0, 89.0, 395.0, 124.0, 0.42438679933547974, 2.0], [367.0, 87.0, 397.0, 114.0, 0.37499943375587463, 2.0], [260.0, 106.0, 387.0, 230.0, 0.35485026240348816, 2.0], [460.0, 98.0, 480.0, 123.0, 0.3221469819545746, 2.0], [471.0, 102.0, 480.0, 127.0, 0.2913306653499603, 2.0], [329.0, 91.0, 372.0, 110.0, 0.25381627678871155, 2.0], [387.0, 97.0, 430.0, 129.0, 0.25177881121635437, 2.0]]"
