frame,number of objects
100,"[[117.0, 146.0, 132.0, 170.0, 0.6973671317100525, 0.0], [261.0, 181.0, 276.0, 204.0, 0.4680368900299072, 0.0], [482.0, 110.0, 498.0, 140.0, 0.3577621579170227, 0.0], [622.0, 167.0, 637.0, 204.0, 0.348356693983078, 0.0], [574.0, 107.0, 589.0, 143.0, 0.2989644408226013, 0.0], [103.0, 145.0, 146.0, 185.0, 0.28512898087501526, 0.0]]"
200,"[[600.0, 139.0, 613.0, 171.0, 0.7217212319374084, 0.0], [355.0, 149.0, 370.0, 172.0, 0.6604667901992798, 0.0], [485.0, 96.0, 499.0, 124.0, 0.5988019704818726, 0.0], [437.0, 206.0, 457.0, 235.0, 0.4693344235420227, 0.0], [431.0, 349.0, 446.0, 360.0, 0.25417235493659973, 0.0]]"
300,"[[59.0, 145.0, 79.0, 180.0, 0.6236171722412109, 0.0], [389.0, 163.0, 406.0, 194.0, 0.5846728682518005, 0.0], [413.0, 221.0, 436.0, 257.0, 0.573508620262146, 0.0], [65.0, 194.0, 90.0, 229.0, 0.4660852253437042, 0.0], [226.0, 87.0, 235.0, 107.0, 0.2721560299396515, 0.0], [582.0, 92.0, 595.0, 112.0, 0.26294973492622375, 0.0]]"
400,"[[444.0, 193.0, 467.0, 228.0, 0.47556814551353455, 0.0], [582.0, 90.0, 595.0, 112.0, 0.26841408014297485, 0.0]]"
500,"[[392.0, 182.0, 415.0, 223.0, 0.6374619007110596, 0.0], [113.0, 90.0, 125.0, 109.0, 0.4224437475204468, 0.0], [335.0, 101.0, 347.0, 122.0, 0.359287291765213, 0.0], [105.0, 108.0, 119.0, 134.0, 0.3374519944190979, 0.0]]"
600,"[[374.0, 296.0, 411.0, 358.0, 0.7205106019973755, 0.0], [375.0, 184.0, 394.0, 223.0, 0.5914626717567444, 0.0]]"
700,"[[417.0, 72.0, 429.0, 94.0, 0.37942397594451904, 0.0], [340.0, 106.0, 353.0, 136.0, 0.3521175682544708, 0.0]]"
800,"[[485.0, 161.0, 508.0, 194.0, 0.6370162963867188, 0.0], [363.0, 135.0, 379.0, 159.0, 0.39857393503189087, 0.0]]"
900,"[[378.0, 192.0, 402.0, 221.0, 0.5536352396011353, 0.0], [128.0, 67.0, 138.0, 89.0, 0.518864095211029, 0.0], [383.0, 251.0, 415.0, 288.0, 0.4626252353191376, 0.0], [481.0, 72.0, 492.0, 95.0, 0.3078111410140991, 0.0], [381.0, 254.0, 415.0, 323.0, 0.27562856674194336, 0.0], [138.0, 78.0, 151.0, 99.0, 0.2669387459754944, 0.0]]"
1000,"[[39.0, 206.0, 68.0, 241.0, 0.6108406782150269, 0.0], [333.0, 93.0, 345.0, 124.0, 0.4388551712036133, 0.0], [199.0, 33.0, 206.0, 51.0, 0.38244742155075073, 0.0], [486.0, 89.0, 510.0, 120.0, 0.27627062797546387, 0.0]]"
1100,"[[62.0, 78.0, 75.0, 101.0, 0.4632154703140259, 0.0], [625.0, 152.0, 640.0, 203.0, 0.32814738154411316, 0.0], [627.0, 155.0, 640.0, 181.0, 0.31824085116386414, 0.0], [605.0, 153.0, 629.0, 198.0, 0.29512226581573486, 0.0]]"
1200,"[[564.0, 85.0, 581.0, 117.0, 0.6766382455825806, 0.0], [517.0, 52.0, 524.0, 72.0, 0.458154559135437, 0.0]]"
1300,"[[591.0, 95.0, 606.0, 127.0, 0.7825766801834106, 0.0], [87.0, 82.0, 100.0, 106.0, 0.4868452847003937, 0.0], [517.0, 50.0, 528.0, 72.0, 0.44868215918540955, 0.0]]"
